image,Data_,Data_Label,Data_Description
http://commons.wikimedia.org/wiki/Special:FilePath/Aled%20Jones.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59077,Aled Jones,Welsh singer and TV presenter
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Campbell%201788.png,https://snarc-llgc.wikibase.cloud/entity/Q59118,Alexander Campbell,Scots-Irish American ordained minister (1788–1866)
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20George%20Edwards%20by%20Solomon%20J%20Solomon.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58868,Alfred Edwards,first archbishop of the Church in Wales
http://commons.wikimedia.org/wiki/Special:FilePath/Lord%20Murray%20of%20Elibank%20-%20Bain%20Collection.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59520,"Alexander Murray, 1st Baron Murray of Elibank",British politician
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Alexander%20Whyte.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59523,Alexander Whyte,Scottish theologian (1836-1921)
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Macbain%20photo%2C%20from%20An%20Etymological%20Dictionary%20of%20the%20Gaelic%20Language.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59537,Alexander Macbain,Scottish philologist
http://commons.wikimedia.org/wiki/Special:FilePath/AlexanderBugge.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59362,Alexander Bugge,Norwegian historian (1870-1929)
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Downing%20Fripp%20%28artist%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59293,Alfred Downing Fripp,British painter (1822-1895)
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Aubert%20from%20Eur%20Mag%2034.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59732,Alexander Aubert,British astronomer (1730-1805)
http://commons.wikimedia.org/wiki/Special:FilePath/Aledhaydnjones11.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59733,Aled Haydn Jones,British DJ
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Balmain%20Bruce.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59747,Alexander Balmain Bruce,Scottish theologian
http://commons.wikimedia.org/wiki/Special:FilePath/Official%20portrait%20of%20Lord%20Carlile%20of%20Berriew%20crop%202.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59419,"Alex Carlile, Baron Carlile of Berriew","British politician, barrister and life peer (born 1948)"
http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Way.%20Photograph%20by%20G.%20Evans.%20Wellcome%20V0027317.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59395,Albert Way,English antiquarian
http://commons.wikimedia.org/wiki/Special:FilePath/Alec%20Waugh%20by%20Bassano.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59774,Alec Waugh,British novelist (1898-1981)
http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Alexander%20Bannerman.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59775,Alexander Bannerman,British politician (1788-1864)
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Carmichael.jpg,https://snarc-llgc.wikibase.cloud/entity/Q60104,Alexander Carmichael,British writer
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Monro%20primus.jpg,https://snarc-llgc.wikibase.cloud/entity/Q63077,Alexander Monro,Scottish doctor (1697-1767)
http://commons.wikimedia.org/wiki/Special:FilePath/Paulin%20Paris.jpg,https://snarc-llgc.wikibase.cloud/entity/Q64199,Alexis Paulin Paris,French scholar and writer (1800-1881)
http://commons.wikimedia.org/wiki/Special:FilePath/Philip%20Alexius%20de%20L%C3%A1szl%C3%B3%20%281869%E2%80%931937%29%20-%20Alfred%20Haddon%20-%202%20-%20Haddon%20Library.jpg,https://snarc-llgc.wikibase.cloud/entity/Q64455,Alfred Cort Haddon,British anthropologist
http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Ross%2C%20architect%2C%20around%201875.png,https://snarc-llgc.wikibase.cloud/entity/Q67719,Alexander Ross,Scottish architect
http://commons.wikimedia.org/wiki/Special:FilePath/Orest%20Kiprensky%20-%20%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82%20%D0%BF%D0%BE%D1%8D%D1%82%D0%B0%20%D0%90.%D0%A1.%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%B0%20-%20Google%20Art%20Project.jpg,https://snarc-llgc.wikibase.cloud/entity/Q70074,Alexander Pushkin,"Russian poet, playwright, and novelist (1799–1837)"
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Daniell%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q69112,Alfred Daniell,"scientist, jurist and university teacher (1853-1937)"
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Caldecott%2C%20c.1910.%20%2822531360049%29%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q69073,Alfred Caldecott,British philosopher
http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%2C%20Selbstbildnis%20mit%2026%20Jahren%20%28Prado%2C%20Madrid%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q69846,Albrecht Dürer,"German painter, printmaker, mathematician, and theorist"
http://commons.wikimedia.org/wiki/Special:FilePath/Andre%20Previn%20%28on%20In%20Tune%2C%20BBC%20Radio%2C%202012%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57646,André Previn,"German-American pianist, conductor and composer (1929-2019)"
http://commons.wikimedia.org/wiki/Special:FilePath/Andrey%20Voznesenskiy.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58004,Andrei Voznesensky,Soviet poet (1933-2010)
http://commons.wikimedia.org/wiki/Special:FilePath/The%20House%20of%20Commons%2C%201833%20by%20Sir%20George%20Hayter.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59711,Andrew Leith Hay,"Scottish soldier, Liberal politician and writer on architecture"
http://commons.wikimedia.org/wiki/Special:FilePath/Andr%C3%A9-Jacques%20Garnerin%20by%20Edward%20Hawke%20Locker%201802.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59000,André-Jacques Garnerin,inventor of the frameless parachute
http://commons.wikimedia.org/wiki/Special:FilePath/Angelica%20catalani.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58270,Angelica Catalani,Italian opera singer
http://commons.wikimedia.org/wiki/Special:FilePath/Aneurin%20Bevan%20%281943%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59589,Aneurin Bevan,Welsh politician (1897-1960)
http://commons.wikimedia.org/wiki/Special:FilePath/AndrewSinclair.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59586,Andrew Sinclair,"British novelist, historian, biographer, critic and filmmaker"
http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Ducarel.png,https://snarc-llgc.wikibase.cloud/entity/Q59673,Andrew Ducarel,Antiquary (1713-1785)
http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Kippis.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59716,Andrew Kippis,British minister
http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Tuer%20p0rtrait.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59725,Andrew White Tuer,British printer
http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Andrew%20Rae%20Duncan.png,https://snarc-llgc.wikibase.cloud/entity/Q59727,Andrew Rae Duncan,British politician (1882-1952)
http://commons.wikimedia.org/wiki/Special:FilePath/Collier-Angela%20McInnes.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59722,Angela Thirkell,British writer (1890-1961)
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Angharad%20Llwyd%20%284670528%29%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59721,Angharad Llwyd,Welsh antiquarian
http://commons.wikimedia.org/wiki/Special:FilePath/Andy%20Goldsworthy%20de%20Young%20installation.jpg,https://snarc-llgc.wikibase.cloud/entity/Q62067,Andy Goldsworthy,British sculptor and photographer
http://commons.wikimedia.org/wiki/Special:FilePath/Anders%20Sandvig%202.jpg,https://snarc-llgc.wikibase.cloud/entity/Q60318,Anders Sandvig,Founded Norwegian cultural museum
http://commons.wikimedia.org/wiki/Special:FilePath/Ange%20Mc%20Kay%20Mosher%20%28crop%20etc%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q60369,Ange McKay Mosher,patron of the arts (1835-1918)
http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Raeburn%20%281756-1823%29%20-%20Professor%20Andrew%20Dalzel%20%281742%E2%80%931806%29%2C%20Classical%20Scholar%20-%20PG%20199%20-%20National%20Galleries%20of%20Scotland.jpg,https://snarc-llgc.wikibase.cloud/entity/Q63486,Andrew Dalzel,Scottish scholar; (1742-1806)
http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Motion%2C%20April%202009.jpg,https://snarc-llgc.wikibase.cloud/entity/Q64117,Andrew Motion,"poet, novelist and biographer from England"
http://commons.wikimedia.org/wiki/Special:FilePath/PSM%20V53%20D158%20Andrew%20C%20Ramsay.jpg,https://snarc-llgc.wikibase.cloud/entity/Q64106,Andrew Ramsay,Scottish geologist (1814-1891)
http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Carnegie%2C%20three-quarter%20length%20portrait%2C%20seated%2C%20facing%20slightly%20left%2C%201913-crop.jpg,https://snarc-llgc.wikibase.cloud/entity/Q64256,Andrew Carnegie,American businessman and philanthropist
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Andreas%20o%20V%C3%B4n%20%284674316%29%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q65082,Andrew Jones Brereton,Welsh writer
http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Lang.jpg,https://snarc-llgc.wikibase.cloud/entity/Q64467,Andrew Lang,"Scottish poet, novelist and literary critic (1844–1912)"
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Aneurin%20Owen%201796%20%284670423%29%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q64454,Aneurin Owen,Welsh historical scholar
http://commons.wikimedia.org/wiki/Special:FilePath/Gide%201920%20cropped.jpg,https://snarc-llgc.wikibase.cloud/entity/Q70540,André Gide,French author and Nobel laureate (1869–1951)
http://commons.wikimedia.org/wiki/Special:FilePath/Temples%20at%20Philae%20on%20the%20Nile.%20Watercolour%20by%20A.%20MacCallum%2C%20Wellcome%20V0017603.jpg,https://snarc-llgc.wikibase.cloud/entity/Q68192,Andrew MacCallum,English landscape painter
http://commons.wikimedia.org/wiki/Special:FilePath/Mam%20Waldo%20Williams%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q68772,Angharad Jones,mother of Wlado Williams
http://commons.wikimedia.org/wiki/Special:FilePath/Official%20portrait%20of%20Lord%20Roberts%20of%20Belgravia%20crop%202.jpg,https://snarc-llgc.wikibase.cloud/entity/Q70418,"Andrew Roberts, Baron Roberts of Belgravia",English historian
http://commons.wikimedia.org/wiki/Special:FilePath/Andrew%20Vicari%20at%20the%20Celtic%20Manor%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q70432,Andrew Vicari,Welsh painter (1932-2016)
http://commons.wikimedia.org/wiki/Special:FilePath/Suzanne%20Caron.-%20Portrait%20d%27Andr%C3%A9-Daniel%20Laffon%20de%20Ladebat%2C%201763.png,https://snarc-llgc.wikibase.cloud/entity/Q70352,André-Daniel Laffon de Ladebat,"French financier, banker and philanthropist (1746-1829)"
http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Kingsley%20%281869%E2%80%931955%29.png,https://snarc-llgc.wikibase.cloud/entity/Q68957,Alice Mary Knewstub,actress (1869-1955)
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%2C%20Lord%20Tennyson%20by%20Julia%20Margaret%20Cameron.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57657,Alfred Tennyson,British Poet Laureate (1809–1892)
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred-Russel-Wallace-c1895.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57881,Alfred Russel Wallac,"British naturalist, explorer, geographer, anthropologist and biologist (1823-1913)"
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Perceval%20Graves.png,https://snarc-llgc.wikibase.cloud/entity/Q58705,Alfred Perceval Graves,"Anglo-Irish poet, songwriter, and school inspector"
http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Meynell%207.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58707,Alice Meynell,"English publisher, editor, writer, poet, activist"
http://commons.wikimedia.org/wiki/Special:FilePath/Algernon%20Percy%2C%2010th%20earl%20of%20Northumberland%2C%20studio%20of%20Anthony%20van%20Dyck.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58727,"Algernon Percy, 10th Earl of Northumberland",English noble (1602-1668)
http://commons.wikimedia.org/wiki/Special:FilePath/James%20A%20Ewing%201855-1835.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59240,Alfred Ewing,British physicist and engineer (1855-1935)
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Robens%2C%20Baron%20Robens%20of%20Woldingham.jpg,https://snarc-llgc.wikibase.cloud/entity/Q60531,"Alfred Robens, Baron Robens of Woldingham",British politician (1910-1999)
http://commons.wikimedia.org/wiki/Special:FilePath/Picture%20of%20Algernon%20C.%20Swinburne.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59348,Algernon Charles Swinburne,"English poet, playwright, novelist, and critic (1837-1909)"
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Sir%20Alfred%20Lewis%20Jones.%20Wellcome%20L0050182.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59292,Alfred Lewis Jones,Welsh businessman
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Theophil%20Holder.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59297,Alfred Holder,Austrian-German librarian and linguist
http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Bacon.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59678,"Alice Bacon, Baroness Bacon",British politician (1909-1993)
http://commons.wikimedia.org/wiki/Special:FilePath/Alicestopfordgreen.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59685,Alice Stopford Green,"Irish historian, politician and nationalist (1847-1929)"
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Mond.jpg,https://snarc-llgc.wikibase.cloud/entity/Q60656,"Alfred Mond, 1st Baron Melchett",British politician (1868-1930)
http://commons.wikimedia.org/wiki/Special:FilePath/Plate%2013%2C%20Alfred%20Nutt%20portrait.%20Folk-Lore%2C%20vol.%2021.png,https://snarc-llgc.wikibase.cloud/entity/Q59364,Alfred Nutt,"Publisher, folklorist, celticist"
http://commons.wikimedia.org/wiki/Special:FilePath/1906%20Sir%20Alfred%20Thomas%20MP.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59366,"Alfred Thomas, 1st Baron Pontypridd",British politician (1840-1927)
http://commons.wikimedia.org/wiki/Special:FilePath/Bp%20Alfred%20Ollivant.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59385,Alfred Ollivant,British bishop
http://commons.wikimedia.org/wiki/Special:FilePath/Alecdowner.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59447,Alick Downer,Australian politician
http://commons.wikimedia.org/wiki/Special:FilePath/Lord%20Milner.jpg,https://snarc-llgc.wikibase.cloud/entity/Q62161,"Alfred Milner, 1st Viscount Milner",British statesman and colonial administrator (1854-1925)
http://commons.wikimedia.org/wiki/Special:FilePath/AlgernonSydneyColour.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59916,Algernon Sidney,British politician and political theorist (1623-1683)
http://commons.wikimedia.org/wiki/Special:FilePath/Elliott%20%26%20Fry12.jpg,https://snarc-llgc.wikibase.cloud/entity/Q61394,Alfred Waterhouse,British architect (1830-1905)
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Bray%20Kempe.jpeg,https://snarc-llgc.wikibase.cloud/entity/Q62345,Alfred Kempe,British mathematician
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20William%20Howitt%20circa%201861.jpg,https://snarc-llgc.wikibase.cloud/entity/Q62346,Alfred William Howitt,Australian scientist (1830-1908)
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Alfred%20Harmsworth%2C%201st%20Viscount%20Northcliffe.jpg,https://snarc-llgc.wikibase.cloud/entity/Q61004,"Alfred Harmsworth, 1st Viscount Northcliffe",British noble (1865–1922)
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Alfred%20Gilbert%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q60329,Alfred Gilbert,British sculptor
http://commons.wikimedia.org/wiki/Special:FilePath/Ceridwen%20Peris.jpg,https://snarc-llgc.wikibase.cloud/entity/Q63744,Alice Jones,"Welsh writer, journal editor, temperance leader (1852–1943)"
http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Alfred%20T.%20Davies%20%285449734%29%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q66638,Alfred Thomas Davies,Welsh solicitor and civil servant
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Ewen%20Fletcher.png,https://snarc-llgc.wikibase.cloud/entity/Q65024,Alfred Ewen Fletcher,British journalist
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Jarry.jpg,https://snarc-llgc.wikibase.cloud/entity/Q70039,Alfred Jarry,French writer
http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20B.%20Toklas%2C%20by%20Carl%20Van%20Vechten%20-%201949.jpg,https://snarc-llgc.wikibase.cloud/entity/Q70247,Alice B. Toklas,American writer (1877-1967)
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20William%20Pollard.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58461,Alfred William Pollard,British author and bibliographer (1859–1944)
http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Pollitzer%20%281832%E2%80%931900%29.png,https://snarc-llgc.wikibase.cloud/entity/Q59227,Adolf Pollitzer,Hungarian musician (1832-1900)
http://commons.wikimedia.org/wiki/Special:FilePath/Ifano%20Jones.jpg,https://snarc-llgc.wikibase.cloud/entity/Q63428,James Ifano Jones,librarian and bibliographer (1865 -1955)
http://commons.wikimedia.org/wiki/Special:FilePath/William%20Richard%20Jones%20%28Goleufryn%201840-1898%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q65054,William Richard Jones,"Calvinistic Methodist minister, and writer (1840 -1898)"
http://commons.wikimedia.org/wiki/Special:FilePath/Er%20cof%20am%20y%20diweddar%20Barch%20Thomas%20Richards%2C%20Abergwaen%20..%20NLW3364476.jpg,https://snarc-llgc.wikibase.cloud/entity/Q65813,Thomas Richard,Welsh Calvinistic Methodist minister
http://commons.wikimedia.org/wiki/Special:FilePath/Aflexner21.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57635,Abraham Flexner,American educator
http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20sillitoe-10%2005%2009.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57628,Alan Sillitoe,British writer
http://commons.wikimedia.org/wiki/Special:FilePath/Alban%20Berg%20%281885%E2%80%931935%29%20~1930%20%C2%A9%20Max%20Fenichel%20%281885%E2%80%931942%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57538,Alban Berg,Austrian composer
http://commons.wikimedia.org/wiki/Special:FilePath/Adelina%20Patti%20portrait%20%2811063797055%29%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57827,Adelina Patti,opera singer
http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Ortelius%20by%20Peter%20Paul%20Rubens.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57938,Abraham Ortelius,"Flemish cartographer, geographer and cosmographer (1527–1598)"
http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Friedrich%20Oeser%20%28Lauer%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57675,Adam Friedrich Oeser,"German etcher, painter and sculptor (1717-1799)"
http://commons.wikimedia.org/wiki/Special:FilePath/Adolf%20Harnack.jpg,https://snarc-llgc.wikibase.cloud/entity/Q57972,Adolf von Harnack,Baltic German theologian and prominent church historian
http://commons.wikimedia.org/wiki/Special:FilePath/Schoener%20Brunnen%20detail%200014.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58030,Aelius Donatus,Roman grammarian
http://commons.wikimedia.org/wiki/Special:FilePath/Adam-price%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58039,Adam Price,Welsh politician and Plaid Cymru leader (born 1968)
http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Bush%20%28Bundesarchiv%20Bild%20183-13756-0002%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58102,Alan Bush,"British composer, musician, and educator (1900-1995)"
http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Venn%20Dicey%20in%20academic%20robes.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58086,A. V. Dicey,British jurist and constitutional theorist (1835–1922)
http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Mr.Osborne%20Morgan%2C%20M.P%20%284674533%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q58810,George Osborne Morgan,Welsh lawyer and Liberal politician
http://commons.wikimedia.org/wiki/Special:FilePath/A.%20J.%20Mundella%200001.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59056,A. J. Mundella,British politician (1825-1897)
http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Alan%20Ayckbourn%20P4220001.JPG,https://snarc-llgc.wikibase.cloud/entity/Q58572,Alan Ayckbourn,English playwright
http://commons.wikimedia.org/wiki/Special:FilePath/A.%20P.%20Herbert.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59137,A. P. Herbert,British politician (1890-1971)
http://commons.wikimedia.org/wiki/Special:FilePath/Alaric%20Alexander%20Watts.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59517,Alaric Alexander Watts,British poet and journalist
http://commons.wikimedia.org/wiki/Special:FilePath/AlanRudkin.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59526,Alan Rudkin,British boxer (1941-2010)
http://commons.wikimedia.org/wiki/Special:FilePath/Lennox-Boyd.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59528,"Alan Lennox-Boyd, 1st Viscount Boyd of Merton",British politician (1904-1983)
http://commons.wikimedia.org/wiki/Special:FilePath/Vice-Admiral%20Lord%20Alan%20Gardner%20%281742-1809%29%2C%20by%20William%20Beechey.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59562,"Alan Gardner, 1st Baron Gardner",Royal Navy admiral (1742-1809)
http://commons.wikimedia.org/wiki/Special:FilePath/Sir%20Alan%20Bowness%2C%202016.%20Photo%20Gautier%20Deblonde..jpg,https://snarc-llgc.wikibase.cloud/entity/Q59219,Alan Bowness,British art historian
http://commons.wikimedia.org/wiki/Special:FilePath/Aileen%20Fox%20Drawing.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59236,Aileen Fox,English archaeologist (1907-2005)
http://commons.wikimedia.org/wiki/Special:FilePath/Adelaide%20Anne%20Procter%20by%20Emma%20Gaggiotti%20Richards.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59256,Adelaide Anne Procter,English poet and songwriter (1825-1864)
http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Duncan%2C%201st%20Viscount%20Duncan%20by%20John%20Hoppner.jpg,https://snarc-llgc.wikibase.cloud/entity/Q61228,"Adam Duncan, 1st Viscount Duncan",Royal Navy admiral (1731-1804)
http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Moorehead%20%28cropped%29.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59280,Alan Moorehead,Australian journalist
http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Rees%20by%20James%20Lonsdale.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59351,Abraham Rees,Welsh encyclopedist and botanist (1743–1825)
http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Garrod%20Thomas2.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59341,Abraham Garrod Thomas,Welsh politician (1853-1931)
http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Hayward%2C%20Vanity%20Fair%2C%201875-11-27.jpg,https://snarc-llgc.wikibase.cloud/entity/Q59384,Abraham Hayward,English man of letters
